ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,err_mw,mc
1,11,1,1960,11,27,0,41.3,13.9833,7,5,0.34,4
2,13,1,1960,4,45,0,41.3167,14.0333,7,4.5,0.34,4
3,6,2,1960,12,0,30,42.9833,12.6,0,4.3,0.34,4
4,24,2,1960,1,51,0,43.1667,12.9333,0,4,0.34,4
5,12,3,1960,0,31,0,42.65,13.2333,0,4.36,0.22,4
6,14,3,1960,4,44,27,42.0333,13.25,0,4.8,0.34,4
7,16,3,1960,1,52,48,42.6333,13.1667,20,4.3,0.34,4
8,15,4,1960,2,45,11,43.75,12.2833,0,4.3,0.34,4
9,23,4,1960,11,44,0,42.6833,12.5333,0,4.3,0.34,4
10,30,4,1960,1,38,36,44.1667,11.75,0,4.3,0.34,4
11,8,5,1960,0,0,0,42.6333,12.9667,0,4.3,0.34,4
12,12,7,1960,14,8,0,42.7167,12.55,0,4.71,0.23,4
13,18,7,1960,4,7,0,42.55,12.4833,0,4.44,0.22,4
14,20,7,1960,23,9,40,42.5,12.5,10,4.51,0.18,4
15,9,9,1960,5,3,0,42.5667,12.65,0,4.24,0.23,4
16,4,12,1960,4,30,17,42.8333,12.75,0,4.22,0.22,4
17,8,12,1960,5,38,9,43.75,12.5,0,4.3,0.34,4
18,29,1,1961,22,32,27,41.6,14.1,14,4.34,0.23,4
19,23,3,1961,1,1,59,43.5833,12.6,5,4.07,0.21,4
20,6,4,1961,11,34,0,41.9667,13.3833,0,4.8,0.34,4
21,10,4,1961,6,57,50,42.0167,13.05,7,4.24,0.23,4
22,12,4,1961,0,44,10,42.0333,13.0833,7,4.24,0.23,4
23,17,4,1961,16,6,0,42.0333,13.4333,0,4.54,0.23,4
24,17,4,1961,16,6,14,40.6833,13.95,0,4.74,0.23,4
25,8,5,1961,22,45,51,44.1,11.9333,15,4.39,0.17,4
26,29,5,1961,4,13,41,44.25,11.5,10,4.16,0.21,4
27,31,10,1961,13,37,18,42.4167,13.0833,4,4.64,0.23,4
28,31,10,1961,13,41,59,42.4167,13.0833,0,4.14,0.23,4
29,25,6,1962,16,35,50,42.8333,13.05,0,4.14,0.23,4
30,22,8,1962,17,22,32,41.1333,15.1167,0,4.24,0.23,4
31,30,8,1962,12,10,0,42.7167,13,0,4.74,0.23,4
32,30,8,1962,17,51,0,42.7167,13,0,4.44,0.23,4
33,11,9,1962,14,55,57,41.0333,15.0333,0,4.14,0.23,4
34,12,9,1962,22,0,0,41.6667,13.7167,0,4,0.34,4
35,2,10,1962,21,5,0,41.1833,14.8833,0,4,0.34,4
36,5,10,1962,23,0,43,43.1,13.2,0,4,0.34,4
37,20,10,1962,9,27,0,42.7,12.7,0,4.24,0.23,4
38,12,11,1962,22,40,0,41.6667,13.7167,0,4,0.34,4
39,14,12,1962,13,55,0,41.6667,13.7167,0,4.5,0.34,4
40,25,1,1963,5,27,0,42.9167,13.0833,0,4.14,0.23,4
41,2,2,1963,19,34,0,42.3833,12.95,0,4.8,0.34,4
42,2,2,1963,20,40,0,42.4,12.9,0,5.3,0.34,4
43,3,2,1963,10,5,0,43.4333,12.45,0,4.3,0.34,4
44,3,2,1963,18,15,0,43.4333,12.45,0,4.3,0.34,4
45,12,2,1963,4,48,6,41.1667,15,0,4.14,0.23,4
46,20,5,1963,4,0,0,43.4,12.5,0,4.3,0.34,4
