ID,day,month,year,hour,minute,second,latitude,longitude,depth,mw,mw_err,mc,cluster_id
1,18,12,1396,0,0,0,39.1,-0.2667,0,6.2885,0.399,6.25,0
2,1,1,1406,0,0,0,37.25,-1.8667,0,5.7435,0.369,6.25,0
3,10,10,1482,0,0,0,38.0833,-0.9167,0,6.016,0.384,6.25,0
4,1,11,1487,0,0,0,36.8333,-2.4667,0,6.016,0.384,6.25,0
5,9,11,1518,23,30,0,37.2333,-1.8667,0,6.2885,0.399,6.25,0
6,22,9,1522,10,0,0,36.9667,-2.6667,0,6.2885,0.399,5.75,0
7,13,4,1529,7,0,0,36.8333,-2.4667,0,4.926,0.324,5.75,0
8,30,9,1531,4,0,0,37.5333,-2.7333,0,6.2885,0.399,5.75,0
9,29,8,1547,20,0,0,38.75,-0.4333,0,5.7435,0.369,5.75,0
10,19,4,1550,0,0,0,36.8333,-2.4667,0,4.926,0.324,5.75,0
11,29,1,1568,16,0,0,38.7,-0.4667,0,4.1085,0.279,5.75,0
12,30,1,1579,0,0,0,37.6833,-1.7,0,5.471,0.354,5.75,0
13,1,1,1596,0,0,0,37.4167,-1.5833,0,4.926,0.324,5.75,0
14,26,12,1598,3,0,0,38.9167,-0.1167,0,5.7435,0.369,5.75,0
15,2,12,1620,19,0,0,38.7,-0.4667,0,5.7435,0.369,5.75,9
16,14,12,1620,4,30,0,38.7,-0.4667,0,4.381,0.294,5.75,9
17,15,6,1644,23,0,0,38.8,-0.4167,0,4.1085,0.279,5.75,3
18,16,6,1644,3,0,0,38.8,-0.4167,0,4.381,0.294,5.75,3
19,19,6,1644,16,0,0,38.8,-0.4167,0,4.381,0.294,5.75,3
20,19,6,1644,18,0,0,38.8,-0.4167,0,6.016,0.384,5.75,3
21,31,12,1658,0,0,0,36.8333,-2.4667,0,4.381,0.294,5.75,4
22,31,12,1658,7,0,0,36.8333,-2.4667,0,6.016,0.384,5.75,4
23,19,1,1659,2,0,0,36.8333,-2.4667,0,4.381,0.294,5.75,4
24,15,1,1673,0,0,0,38.0833,-0.9167,0,6.016,0.384,5.75,0
25,10,8,1674,0,0,0,37.6833,-1.7,0,4.6535,0.309,5.75,6
26,28,8,1674,21,30,0,37.6833,-1.7,0,6.016,0.384,5.75,6
27,1,1,1686,0,0,0,36.85,-2.95,0,5.1985,0.339,5.75,0
28,29,5,1694,0,0,0,38.3333,-0.5,0,4.6535,0.309,5.75,0
29,3,10,1713,0,0,0,37.6833,-1.7,0,4.1085,0.279,5.75,0
30,9,3,1743,16,0,0,38,-1.1333,0,5.471,0.354,5.75,0
31,15,8,1746,9,0,0,38,-1.1333,0,5.1985,0.339,5.75,0
32,4,3,1751,0,0,0,37.65,-2.0667,0,5.1985,0.339,5.75,0
33,28,10,1755,3,30,0,38.05,-1.4833,0,3.5635,0.249,5.75,0
34,8,1,1756,0,0,0,37.3833,-1.95,0,4.1085,0.279,5.75,0
35,13,5,1756,6,0,0,37.9833,-1.1333,0,4.381,0.294,5.75,0
36,10,1,1760,20,15,0,38.3333,-0.5,0,4.381,0.294,5.75,0
37,29,7,1762,14,0,0,37.9833,-1.1333,0,3.836,0.264,5.75,0
38,3,12,1765,4,30,0,37.9833,-1.1333,0,3.836,0.264,5.75,0
39,7,11,1778,20,30,0,37.3,-3.1333,0,3.836,0.264,5.75,0
40,2,2,1780,4,15,0,37.9833,-1.1333,0,3.836,0.264,5.75,0
41,29,3,1783,18,30,0,37.6833,-1.7,0,4.6535,0.309,5.75,0
42,17,8,1787,19,0,0,38.2667,-0.7,0,4.6535,0.309,5.75,0
43,16,9,1792,10,45,0,37.6833,-1.7,0,4.1085,0.279,5.75,0
44,26,9,1793,2,30,0,38.7,-0.4667,0,4.381,0.294,5.75,0
45,18,1,1802,20,0,0,37.9833,-0.6833,0,5.1985,0.339,5.25,0
46,11,3,1803,21,15,0,36.8333,-2.4667,0,4.1085,0.279,5.25,0
47,23,8,1804,15,45,0,36.7667,-2.8333,0,4.926,0.324,5.25,2
48,24,8,1804,3,15,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
49,25,8,1804,8,25,0,36.7667,-2.8333,0,6.2885,0.399,5.25,2
50,25,8,1804,14,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
51,25,8,1804,16,45,0,36.7667,-2.8333,0,4.926,0.324,5.25,2
52,25,8,1804,18,30,0,36.7667,-2.8333,0,5.471,0.354,5.25,2
53,25,8,1804,20,0,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
54,27,8,1804,6,45,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
55,27,8,1804,12,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
56,27,8,1804,15,0,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
57,27,8,1804,17,0,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
58,28,8,1804,16,20,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
59,28,8,1804,16,50,0,36.7667,-2.8333,0,4.926,0.324,5.25,2
60,29,8,1804,4,45,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
61,29,8,1804,7,30,0,36.7667,-2.8333,0,4.926,0.324,5.25,2
62,29,8,1804,12,5,0,36.7667,-2.8333,0,5.471,0.354,5.25,2
63,29,8,1804,17,20,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
64,30,8,1804,5,45,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
65,30,8,1804,18,45,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
66,31,8,1804,9,45,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
67,31,8,1804,11,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
68,31,8,1804,13,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
69,1,9,1804,0,30,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
70,3,9,1804,3,0,0,36.7667,-2.8333,0,3.836,0.264,5.25,2
71,3,9,1804,5,30,0,36.7667,-2.8333,0,4.381,0.294,5.25,2
72,3,9,1804,9,45,0,36.7667,-2.8333,0,4.6535,0.309,5.25,2
73,4,9,1804,10,0,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
74,5,9,1804,11,45,0,36.7667,-2.8333,0,3.291,0.234,5.25,2
